Date,Close
10/9/2018,212.32
10/10/2018,202.38
10/11/2018,203.17
10/12/2018,211.95
10/15/2018,209.2
10/16/2018,205
10/17/2018,206.05
10/18/2018,202.56
10/19/2018,193.51
10/22/2018,194.39
10/23/2018,197.08
10/24/2018,185.75
10/25/2018,190.62
10/26/2018,185.41
10/29/2018,178.99
10/30/2018,177.66
10/31/2018,183.04
11/1/2018,188.76
11/2/2018,184.24
11/5/2018,182.79
11/6/2018,183.8
11/7/2018,189.35
11/8/2018,188.44
11/9/2018,183.09
11/12/2018,177.35
11/13/2018,176.8
11/14/2018,176.78
11/15/2018,172.37
11/16/2018,169.61
11/19/2018,163.44
11/20/2018,165.75
11/21/2018,166.94
11/23/2018,166.4
11/26/2018,170.32
11/27/2018,166.59
11/28/2018,176.54
11/29/2018,176.05
11/30/2018,172.95
12/3/2018,179.31
12/4/2018,177.25
12/6/2018,181.78
12/7/2018,175.09
12/10/2018,179.24
12/11/2018,184.42
12/12/2018,189.52
12/13/2018,188.13
12/14/2018,184.03
12/17/2018,176.61
12/18/2018,177.22
12/19/2018,178.99
12/20/2018,179.44
12/21/2018,173.31
12/24/2018,169.95
12/26/2018,181.65
12/27/2018,182.27
12/28/2018,184.13
12/31/2018,188.35
1/2/2019,183.21
1/3/2019,179.7
1/4/2019,184.39
1/7/2019,187.35
1/8/2019,190.43
1/9/2019,193.11
1/10/2019,196
1/11/2019,195.97
1/14/2019,194.93
1/15/2019,200.17
1/16/2019,201.3
1/17/2019,203.3
1/18/2019,203.3
1/22/2019,203
1/23/2019,205.72
1/24/2019,210.47
1/25/2019,209.72
1/28/2019,207.61
1/29/2019,206.77
1/30/2019,212.86
1/31/2019,214.82
2/1/2019,220.27
2/4/2019,220.16
2/5/2019,218.93
2/6/2019,220.55
2/7/2019,219.45
2/8/2019,224.62
2/11/2019,223.86
2/12/2019,224.45
2/13/2019,222.16
2/14/2019,225.16
2/15/2019,226.77
2/19/2019,229.9
2/20/2019,226.64
2/21/2019,226.18
2/22/2019,230.1
2/25/2019,233.88
2/26/2019,235.55
2/27/2019,254.88
2/28/2019,246.27
3/1/2019,245.47
3/4/2019,242.54
3/5/2019,234.34
3/6/2019,234.44
3/7/2019,234.52
3/8/2019,234.63
3/11/2019,240.88
3/12/2019,240.22
3/13/2019,242.75
3/14/2019,242.76
3/15/2019,239.72
3/18/2019,241.01
3/19/2019,242.5
3/20/2019,245.82
3/21/2019,249.79
3/22/2019,242.36
3/25/2019,241.83
3/26/2019,244.2
3/27/2019,239.45
3/28/2019,238.39
3/29/2019,242.88
4/1/2019,241.41
4/2/2019,240.2
4/3/2019,242.21
4/4/2019,237.07
4/5/2019,238.85
4/8/2019,238.88
4/9/2019,240.77
4/10/2019,242.52
4/11/2019,245.93
4/12/2019,244.66
4/15/2019,248.22
4/16/2019,244.48
4/17/2019,239.43
4/18/2019,235.46
4/22/2019,239.28
4/23/2019,241.09
4/24/2019,243.11
4/25/2019,245.46
4/26/2019,245.84
4/29/2019,249.2
4/30/2019,248.83
